"year","code_ape_a732","aggregate","fpt","accuracy_fpt","unit","libelle_ape_a732"
"2022","47.65Z","PRD",100,4,"GCO2E_EUR","Commerce de détail de jeux et jouets en magasin spécialisé"
"2022","47.71Z","PRD",83,2.9,"GCO2E_EUR","Commerce de détail d'habillement en magasin spécialisé"
"2022","47.71Z","IC",99,2.9,"GCO2E_EUR","Commerce de détail d'habillement en magasin spécialisé"
"2022","47.71Z","GVA",71,2.9,"GCO2E_EUR","Commerce de détail d'habillement en magasin spécialisé"
"2022","47.72A","IC",99,2.9,"GCO2E_EUR","Commerce de détail de la chaussure"
"2022","47.72A","GVA",71,2.9,"GCO2E_EUR","Commerce de détail de la chaussure"
"2022","47.72A","PRD",83,2.9,"GCO2E_EUR","Commerce de détail de la chaussure"
"2022","47.72B","GVA",71,2.9,"GCO2E_EUR","Commerce de détail de maroquinerie et d'articles de voyage"
"2022","47.72B","IC",99,2.9,"GCO2E_EUR","Commerce de détail de maroquinerie et d'articles de voyage"
"2022","47.72B","PRD",83,2.9,"GCO2E_EUR","Commerce de détail de maroquinerie et d'articles de voyage"
"2022","47.73Z","PRD",85,2.9,"GCO2E_EUR","Commerce de détail de produits pharmaceutiques en magasin spécialisé"
"2022","47.73Z","GVA",72,2.9,"GCO2E_EUR","Commerce de détail de produits pharmaceutiques en magasin spécialisé"
"2022","47.73Z","IC",106,2.9,"GCO2E_EUR","Commerce de détail de produits pharmaceutiques en magasin spécialisé"
"2022","47.74Z","IC",106,2.9,"GCO2E_EUR","Commerce de détail d'articles médicaux et orthopédiques en magasin spécialisé"
"2022","47.74Z","GVA",72,2.9,"GCO2E_EUR","Commerce de détail d'articles médicaux et orthopédiques en magasin spécialisé"
"2022","47.74Z","PRD",85,2.9,"GCO2E_EUR","Commerce de détail d'articles médicaux et orthopédiques en magasin spécialisé"
"2022","47.75Z","IC",106,2.9,"GCO2E_EUR","Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé"
"2022","47.75Z","GVA",72,2.9,"GCO2E_EUR","Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé"
"2022","47.75Z","PRD",85,2.9,"GCO2E_EUR","Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé"
"2022","47.76Z","IC",111,3.7,"GCO2E_EUR","Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en …"
"2022","47.76Z","GVA",100,3.7,"GCO2E_EUR","Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en …"
"2022","47.76Z","PRD",108,3.7,"GCO2E_EUR","Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en …"
"2022","47.77Z","PRD",90,3.7,"GCO2E_EUR","Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé"
"2022","47.77Z","IC",109,3.7,"GCO2E_EUR","Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé"
"2022","47.77Z","GVA",75,3.7,"GCO2E_EUR","Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé"
"2022","47.78A","IC",106,2.9,"GCO2E_EUR","Commerces de détail d'optique"
"2022","47.78A","GVA",72,2.9,"GCO2E_EUR","Commerces de détail d'optique"
"2022","47.78A","PRD",85,2.9,"GCO2E_EUR","Commerces de détail d'optique"
"2022","47.78B","PRD",100,4,"GCO2E_EUR","Commerces de détail de charbons et combustibles"
"2022","47.78B","IC",124,4,"GCO2E_EUR","Commerces de détail de charbons et combustibles"
"2022","47.78B","GVA",81,4,"GCO2E_EUR","Commerces de détail de charbons et combustibles"
"2022","47.78C","IC",113,3.7,"GCO2E_EUR","Autres commerces de détail spécialisés divers"
"2022","47.78C","PRD",92,3.7,"GCO2E_EUR","Autres commerces de détail spécialisés divers"
"2022","47.78C","GVA",78,3.7,"GCO2E_EUR","Autres commerces de détail spécialisés divers"
"2022","47.79Z","GVA",78,3.7,"GCO2E_EUR","Commerce de détail de biens d'occasion en magasin"
"2022","47.79Z","IC",113,3.7,"GCO2E_EUR","Commerce de détail de biens d'occasion en magasin"
"2022","47.79Z","PRD",92,3.7,"GCO2E_EUR","Commerce de détail de biens d'occasion en magasin"
"2022","47.81Z","GVA",73,3.7,"GCO2E_EUR","Commerce de détail alimentaire sur éventaires et marchés"
"2022","47.81Z","PRD",89,3.7,"GCO2E_EUR","Commerce de détail alimentaire sur éventaires et marchés"
"2022","47.81Z","IC",110,3.7,"GCO2E_EUR","Commerce de détail alimentaire sur éventaires et marchés"
"2022","47.82Z","PRD",89,3.7,"GCO2E_EUR","Commerce de détail de textiles, d'habillement et de chaussures sur éventaires et marchés"
"2022","47.82Z","IC",110,3.7,"GCO2E_EUR","Commerce de détail de textiles, d'habillement et de chaussures sur éventaires et marchés"
"2022","47.82Z","GVA",73,3.7,"GCO2E_EUR","Commerce de détail de textiles, d'habillement et de chaussures sur éventaires et marchés"
"2022","47.89Z","GVA",73,3.7,"GCO2E_EUR","Autres commerces de détail sur éventaires et marchés"
"2022","47.89Z","IC",110,3.7,"GCO2E_EUR","Autres commerces de détail sur éventaires et marchés"
"2022","47.89Z","PRD",89,3.7,"GCO2E_EUR","Autres commerces de détail sur éventaires et marchés"
"2022","47.91A","PRD",89,3.7,"GCO2E_EUR","Vente à distance sur catalogue général"
"2022","47.91A","GVA",73,3.7,"GCO2E_EUR","Vente à distance sur catalogue général"
"2022","47.91A","IC",110,3.7,"GCO2E_EUR","Vente à distance sur catalogue général"
"2022","47.91B","PRD",89,3.7,"GCO2E_EUR","Vente à distance sur catalogue spécialisé"
"2022","47.91B","GVA",73,3.7,"GCO2E_EUR","Vente à distance sur catalogue spécialisé"
"2022","47.91B","IC",110,3.7,"GCO2E_EUR","Vente à distance sur catalogue spécialisé"
"2022","47.99A","PRD",89,3.7,"GCO2E_EUR","Vente à domicile"
"2022","47.99A","GVA",73,3.7,"GCO2E_EUR","Vente à domicile"
"2022","47.99A","IC",110,3.7,"GCO2E_EUR","Vente à domicile"
"2022","47.99B","GVA",73,3.7,"GCO2E_EUR","Vente par automates et autres commerces de détail hors magasin, éventaires ou marchés n.c.a."
"2022","47.99B","IC",110,3.7,"GCO2E_EUR","Vente par automates et autres commerces de détail hors magasin, éventaires ou marchés n.c.a."
"2022","47.99B","PRD",89,3.7,"GCO2E_EUR","Vente par automates et autres commerces de détail hors magasin, éventaires ou marchés n.c.a."
"2022","49.10Z","GVA",291,2.1,"GCO2E_EUR","Transport ferroviaire interurbain de voyageurs"
"2022","49.10Z","IC",158,2.1,"GCO2E_EUR","Transport ferroviaire interurbain de voyageurs"
"2022","49.10Z","PRD",212,2.1,"GCO2E_EUR","Transport ferroviaire interurbain de voyageurs"
"2022","49.20Z","IC",157,2.1,"GCO2E_EUR","Transports ferroviaires de fret"
"2022","49.20Z","PRD",213,2.1,"GCO2E_EUR","Transports ferroviaires de fret"
"2022","49.20Z","GVA",293,2.1,"GCO2E_EUR","Transports ferroviaires de fret"
